id,birth_date,breed,days_at_grower,rpro,weight,height,birth_weight,go_home_date,measure_date,age_at_measure,times_weight,total_pneu,pneu_date_1,pneu_date_2,pneu_date_3,pneu_date_4,total_diarhea,diarhea_date_1,diarhea_date_2,total_ear,ear_date_1,ear_date_2,ear_date_3,total_navel,navel_date_1,times_sick,pneu,diarhea,navel,ear,disease_status
8466,2021-05-23,HO,604,PREG,356,45,,2023-03-17,2021-11-22,183,1,1,2021-10-02,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8466,2021-05-23,HO,604,PREG,850,,,2023-03-17,2022-06-10,383,2,1,2021-10-02,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8466,2021-05-23,HO,604,PREG,1350,,,2023-03-17,2023-03-16,662,3,1,2021-10-02,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8471,2021-05-25,HO,568,PREG,400,46,,2023-02-09,2021-11-22,181,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8471,2021-05-25,HO,568,PREG,1280,,,2023-02-09,2023-02-09,625,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8472,2021-05-26,HO,617,PREG,400,46,,2023-03-30,2021-11-22,180,1,1,2021-09-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8472,2021-05-26,HO,617,PREG,860,54,,2023-03-30,2022-06-10,380,2,1,2021-09-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8472,2021-05-26,HO,617,PREG,1500,,,2023-03-30,2023-03-30,673,3,1,2021-09-05,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8473,2021-05-26,HO,568,PREG,398,45,,2023-02-09,2021-11-22,180,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8473,2021-05-26,HO,568,PREG,770,51,,2023-02-09,2022-06-10,380,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8473,2021-05-26,HO,568,PREG,1240,,,2023-02-09,2023-02-09,624,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8475,2021-05-26,HO,568,PREG,402,46,,2023-02-09,2021-11-22,180,1,1,2021-09-01,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8475,2021-05-26,HO,568,PREG,1200,,,2023-02-09,2023-02-09,624,2,1,2021-09-01,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
8476,2021-05-27,HO,568,PREG,422,46,,2023-02-09,2021-11-22,179,1,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8476,2021-05-27,HO,568,PREG,920,54,,2023-02-09,2022-06-10,379,2,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8476,2021-05-27,HO,568,PREG,1400,,,2023-02-09,2023-02-09,623,3,,,,,,,,,,,,,,,,0,0,0,0,Healthy
8477,2021-05-27,HO,568,PREG,356,45,,2023-02-09,2021-11-22,179,1,1,2021-09-15,,,,,,,,,,,,,1,1,0,0,0,Pneumonia
