id,oldid,pen,age,note,rem,days_in_closeup,dim,lact,xmast,xsick,orgin,birth_date,fresh_date,purchase_date,last_test_date,cull_date,age_fresh_days,breed,sire_breed,dam_breed,last_test_milk,last_test_scc,last_test_log_scc,first_test_log_scc,second_test_log_scc,week_1_milk,week_4_milk,week_8_milk,mature_equiv_305m,energy_corrected_305m,culled,times_mast,times_sick
666,0,74,2-8,JC23,67DAYS,9,224,1,0,0,PUR,2021-04-02,2023-04-26,2023-03-16,2023-11-27,,754,HO,H,H,51,379,4.9,2.4,1.5,37,56,53,20050,22870,0,0,0
667,0,79,2-4,JC23,LAME.EU,4,111,1,0,1,Missing,2021-04-07,2023-04-21,2023-03-16,2023-07-19,2023-08-10,744,HO,H,H,79,14,0.2,0,2.7,28,50,77,24130,25260,1,0,1
668,0,74,2-1,JC23,PNEU,2,61,1,0,1,Missing,2021-05-10,2023-05-03,2023-03-16,2023-06-26,2023-07-03,723,HO,H,H,57,9,0.1,6,0.1,40,58,56,19890,20470,1,0,1
673,0,74,2-6,JC23,NONE,6,213,1,0,0,PUR,2021-05-31,2023-05-07,2023-03-16,2023-11-27,,706,HO,H,H,44,124,3.3,0,0.2,38,56,68,21380,22000,0,0,0
674,0,74,2-5,JC23,LP,14,197,1,0,0,PUR,2021-06-06,2023-05-15,2023-03-16,2023-11-27,2023-11-28,708,HO,H,H,40,48,2,2.4,0.1,39,69,79,21040,21820,1,0,0
675,0,78,2-5,JC23,35DAYS,1,182,1,1,2,PUR,2021-06-11,2023-06-07,2023-03-16,2023-11-27,,726,HO,H,H,71,92,2.9,1.4,7,33,67,65,24210,26640,0,1,2
676,0,74,2-5,JC23,TRMH/B,11,222,1,0,1,PUR,2021-06-11,2023-04-28,2023-03-16,2023-11-27,,686,HO,H,H,69,166,3.7,0.8,0.1,39,69,89,28330,31490,0,0,1
685,0,78,2-5,JC23,69DAYS,12,179,1,0,0,PUR,2021-07-01,2023-06-10,2023-03-16,2023-11-27,,709,HO,H,H,93,290,4.5,0,4.4,40,74,82,32150,33180,0,0,0
687,0,78,2-4,JC23,NONE,4,169,1,0,0,PUR,2021-07-08,2023-06-20,2023-03-16,2023-11-27,,712,HO,H,H,60,37,1.5,3,3.2,29,58,75,23320,26920,0,0,0
688,0,73,2-4,JC23,NONE,16,160,1,1,1,PUR,2021-07-10,2023-06-29,2023-03-16,2023-11-27,,719,HO,H,H,59,128,3.4,3.4,3.4,41,76,82,25880,31520,0,1,1
689,0,10,1-11,JC23,LP,12,24,1,0,1,Missing,2021-07-11,2023-06-18,2023-03-16,2023-06-26,2023-07-12,707,HO,H,H,37,77,2.6,2.6,0,12,23,0,15380,16520,1,0,1
690,0,78,2-4,JC23,TRMHRH/B,13,177,1,0,0,PUR,2021-07-12,2023-06-12,2023-03-16,2023-11-27,,700,HO,H,H,85,163,3.7,0,2.4,38,50,76,27980,27620,0,0,0
701,0,75,2-2,JC23,14:59,8,50,1,0,0,PUR,2021-09-22,2023-10-17,2023-03-16,2023-11-27,,755,HO,H,H,71,629,5.6,5,5.6,40,60,75,24830,27090,0,0,0
702,0,76,2-2,JC23,12:59,2,56,1,0,0,PUR,2021-09-27,2023-10-11,2023-03-16,2023-11-27,,744,HO,H,H,80,591,5.5,3,5.5,39,62,74,25280,26210,0,0,0
703,0,75,2-2,JC23,10:59,0,47,1,0,0,PUR,2021-09-29,2023-10-20,2023-03-16,2023-11-27,,751,HO,H,H,77,32,1.4,2.6,1.4,45,69,0,26650,26880,0,0,0
