id,breed,birth_date,rpro,birth_weight,first_weight,last_weight,days_at_grower,last_measure_age,first_measure_age,go_home_date,total_gain_grower,days_since_first,avg_gain_grower,total_gain_birth,average_gain_birth
8466,HO,2021-05-23,PREG,,356,1350,604,662,183,2023-03-17,994,479,2.07515657620042,,
8471,HO,2021-05-25,PREG,,400,1280,568,625,181,2023-02-09,880,444,1.98198198198198,,
8472,HO,2021-05-26,PREG,,400,1500,617,673,180,2023-03-30,1100,493,2.23123732251521,,
8473,HO,2021-05-26,PREG,,398,1240,568,624,180,2023-02-09,842,444,1.8963963963964,,
8475,HO,2021-05-26,PREG,,402,1200,568,624,180,2023-02-09,798,444,1.7972972972973,,
8476,HO,2021-05-27,PREG,,422,1400,568,623,179,2023-02-09,978,444,2.2027027027027,,
8477,HO,2021-05-27,PREG,,356,1250,568,623,179,2023-02-09,894,444,2.01351351351351,,
8479,HO,2021-05-28,PREG,,379,1330,589,643,186,2023-03-02,951,457,2.08096280087527,,
8480,HO,2021-05-28,PREG,,366,1420,604,657,178,2023-03-17,1054,479,2.20041753653445,,
8481,HO,2021-05-29,PREG,,422,1380,604,656,177,2023-03-17,958,479,2,,
8482,HO,2021-05-29,PREG,,408,1270,568,621,206,2023-02-09,862,415,2.07710843373494,,
8483,HO,2021-05-29,PREG,,350,1220,568,621,177,2023-02-09,870,444,1.95945945945946,,
8484,HO,2021-05-29,PREG,,428,1400,568,621,177,2023-02-09,972,444,2.18918918918919,,
8485,HO,2021-05-29,PREG,,396,1320,568,621,177,2023-02-09,924,444,2.08108108108108,,
8486,HO,2021-05-29,SLD/DIE,,302,302,,177,177,,0,0,,,
8487,HO,2021-05-29,PREG,,378,1320,589,642,177,2023-03-02,942,465,2.0258064516129,,
8488,HO,2021-05-30,PREG,,374,1490,610,662,176,2023-03-23,1116,486,2.2962962962963,,
8489,HO,2021-05-30,PREG,,406,1350,568,620,176,2023-02-09,944,444,2.12612612612613,,
8490,HO,2021-05-31,PREG,,380,1250,568,619,175,2023-02-09,870,444,1.95945945945946,,
8491,HO,2021-05-31,PREG,,378,1220,568,619,175,2023-02-09,842,444,1.8963963963964,,
8492,HO,2021-05-31,PREG,,370,1380,624,675,175,2023-04-06,1010,500,2.02,,
8493,HO,2021-05-31,PREG,,433,1520,604,654,175,2023-03-17,1087,479,2.26931106471816,,
8494,HO,2021-06-01,PREG,,374,1280,568,618,174,2023-02-09,906,444,2.04054054054054,,
8495,HO,2021-06-01,PREG,,366,1320,568,618,174,2023-02-09,954,444,2.14864864864865,,
8496,HO,2021-06-01,PREG,,354,1340,604,653,174,2023-03-17,986,479,2.05845511482255,,
8497,HO,2021-06-02,PREG,,390,1150,568,617,173,2023-02-09,760,444,1.71171171171171,,
8499,HO,2021-06-02,PREG,,377,1420,610,659,173,2023-03-23,1043,486,2.14609053497942,,
8500,HO,2021-06-02,PREG,,382,1260,568,617,173,2023-02-09,878,444,1.97747747747748,,
8501,HO,2021-06-02,PREG,,396,1420,604,652,173,2023-03-17,1024,479,2.13778705636743,,
8502,HO,2021-06-02,PREG,,384,1400,589,638,173,2023-03-02,1016,465,2.18494623655914,,
8503,HO,2021-06-02,PREG,,421,1550,610,659,173,2023-03-23,1129,486,2.32304526748971,,
8504,HO,2021-06-02,PREG,,404,1380,617,666,173,2023-03-30,976,493,1.97971602434077,,
8506,HO,2021-06-03,PREG,,408,1540,645,693,172,2023-04-27,1132,521,2.17274472168906,,
8507,HO,2021-06-03,PREG,,329,1150,568,616,172,2023-02-09,821,444,1.8490990990991,,
8508,HO,2021-06-03,PREG,,233,1500,589,637,275,2023-03-02,1267,362,3.5,,
8509,HO,2021-06-03,PREG,,378,1350,617,665,172,2023-03-30,972,493,1.97160243407708,,
8510,HO,2021-06-03,PREG,,378,1340,568,616,172,2023-02-09,962,444,2.16666666666667,,
8511,HO,2021-06-03,PREG,,394,1300,568,616,172,2023-02-09,906,444,2.04054054054054,,
8512,HO,2021-06-04,PREG,,358,1580,624,671,171,2023-04-06,1222,500,2.444,,
8513,HO,2021-06-04,PREG,,420,1250,568,615,171,2023-02-09,830,444,1.86936936936937,,
8515,HO,2021-06-04,SLD/DIE,,320,1140,,595,171,,820,424,1.93396226415094,,
8516,HO,2021-06-04,PREG,,430,1440,610,657,171,2023-03-23,1010,486,2.07818930041152,,
8517,HO,2021-06-05,PREG,,253,1390,610,656,117,2023-03-23,1137,539,2.10946196660482,,
8518,HO,2021-06-05,PREG,,245,1320,568,614,117,2023-02-09,1075,497,2.16297786720322,,
8519,HO,2021-06-05,PREG,,224,1290,568,614,117,2023-02-09,1066,497,2.14486921529175,,
8520,HO,2021-06-05,PREG,,236,1400,568,614,117,2023-02-09,1164,497,2.3420523138833,,
8521,HO,2021-06-05,PREG,,213,1280,610,656,117,2023-03-23,1067,539,1.97959183673469,,
8522,HO,2021-06-05,PREG,,216,1480,604,649,117,2023-03-17,1264,532,2.37593984962406,,
8523,HO,2021-06-06,SLD/DIE,,,,,116,116,,,0,,,
8524,HO,2021-06-06,SLD/DIE,,231,231,,116,116,,0,0,,,
8525,HO,2021-06-07,PREG,,226,1350,589,633,115,2023-03-02,1124,518,2.16988416988417,,
8526,HO,2021-06-07,PREG,,232,1450,568,612,115,2023-02-09,1218,497,2.45070422535211,,
8527,HO,2021-06-08,PREG,,223,1200,589,632,114,2023-03-02,977,518,1.88610038610039,,
8528,HO,2021-06-08,PREG,,225,1250,568,611,114,2023-02-09,1025,497,2.06237424547284,,
8529,HO,2021-06-08,SLD/DIE,,265,1170,,492,114,,905,378,2.39417989417989,,
8530,HO,2021-06-08,PREG,,243,1320,589,632,114,2023-03-02,1077,518,2.07915057915058,,
8531,HO,2021-06-09,PREG,,245,1400,589,631,113,2023-03-02,1155,518,2.22972972972973,,
8532,HO,2021-06-10,PREG,,226,1300,568,609,112,2023-02-09,1074,497,2.16096579476861,,
8533,HO,2021-06-10,PREG,,212,1400,568,609,112,2023-02-09,1188,497,2.39034205231388,,
8534,HO,2021-06-10,PREG,,224,1390,568,609,112,2023-02-09,1166,497,2.34607645875252,,
8535,HO,2021-06-10,PREG,,224,1290,589,630,118,2023-03-02,1066,512,2.08203125,,
8536,HO,2021-06-11,SLD/DIE,,233,1100,,545,111,,867,434,1.99769585253456,,
8537,HO,2021-06-11,PREG,,236,1350,568,608,111,2023-02-09,1114,497,2.24144869215292,,
8538,Other,2021-06-12,PREG,,228,1300,589,628,110,2023-03-02,1072,518,2.06949806949807,,
8539,HO,2021-06-12,PREG,,224,1350,568,607,110,2023-02-09,1126,497,2.26559356136821,,
8540,HO,2021-06-12,PREG,,212,1340,568,607,110,2023-02-09,1128,497,2.26961770623743,,
8541,HO,2021-06-12,PREG,,246,1300,568,607,110,2023-02-09,1054,497,2.12072434607646,,
8542,HO,2021-06-14,PREG,,235,1320,589,626,108,2023-03-02,1085,518,2.09459459459459,,
8543,HO,2021-06-14,PREG,,235,1320,568,605,108,2023-02-09,1085,497,2.1830985915493,,
8544,HO,2021-06-14,PREG,,226,1280,568,605,108,2023-02-09,1054,497,2.12072434607646,,
8545,HO,2021-06-14,PREG,,235,1270,589,626,108,2023-03-02,1035,518,1.9980694980695,,
8546,HO,2021-06-15,PREG,,236,1230,589,625,107,2023-03-02,994,518,1.91891891891892,,
8547,HO,2021-06-15,PREG,,225,1350,604,639,107,2023-03-17,1125,532,2.11466165413534,,
8548,HO,2021-06-15,PREG,,233,1350,610,646,107,2023-03-23,1117,539,2.07235621521336,,
8549,HO,2021-06-15,PREG,,225,1380,589,625,107,2023-03-02,1155,518,2.22972972972973,,
8550,HO,2021-06-15,PREG,,245,1200,568,604,107,2023-02-09,955,497,1.9215291750503,,
8551,HO,2021-06-16,PREG,,273,1260,610,645,112,2023-03-23,987,533,1.85178236397749,,
8552,HO,2021-06-16,PREG,,268,1450,617,652,112,2023-03-30,1182,540,2.18888888888889,,
8553,HO,2021-06-17,PREG,,245,1260,589,623,111,2023-03-02,1015,512,1.982421875,,
8555,HO,2021-06-17,PREG,,246,1390,610,644,105,2023-03-23,1144,539,2.12244897959184,,
8556,HO,2021-06-18,PREG,,235,1460,610,643,104,2023-03-23,1225,539,2.27272727272727,,
8557,HO,2021-06-18,PREG,,210,1450,589,622,104,2023-03-02,1240,518,2.39382239382239,,
8558,HO,2021-06-18,PREG,,195,1300,652,683,104,2023-05-04,1105,579,1.90846286701209,,
8559,HO,2021-06-18,PREG,,235,1350,589,622,104,2023-03-02,1115,518,2.15250965250965,,
8560,HO,2021-06-18,PREG,,225,1290,568,601,104,2023-02-09,1065,497,2.14285714285714,,
8561,HO,2021-06-19,PREG,,235,1240,589,621,103,2023-03-02,1005,518,1.94015444015444,,
8564,HO,2021-06-21,PREG,,235,1350,589,619,101,2023-03-02,1115,518,2.15250965250965,,
8565,HO,2021-06-22,PREG,,220,1460,610,639,100,2023-03-23,1240,539,2.30055658627087,,
8566,HO,2021-06-22,PREG,,215,1320,589,618,100,2023-03-02,1105,518,2.13320463320463,,
8567,HO,2021-06-22,PREG,,228,1350,589,618,100,2023-03-02,1122,518,2.16602316602317,,
8568,HO,2021-06-23,PREG,,236,1370,617,645,99,2023-03-30,1134,546,2.07692307692308,,
8569,HO,2021-06-23,PREG,,226,1300,589,617,99,2023-03-02,1074,518,2.07335907335907,,
8570,HO,2021-06-23,PREG,,251,1320,589,617,105,2023-03-02,1069,512,2.087890625,,
8571,HO,2021-06-24,PREG,,225,1280,610,637,98,2023-03-23,1055,539,1.95732838589981,,
8572,HO,2021-06-24,SLD/DIE,,256,1430,,686,104,,1174,582,2.01718213058419,,
8573,HO,2021-06-24,SLD/DIE,,267,1360,617,644,104,2023-03-30,1093,540,2.02407407407407,,
8574,HO,2021-06-25,PREG,,229,1350,589,615,103,2023-03-02,1121,512,2.189453125,,
8575,HO,2021-06-25,PREG,,225,1460,645,671,103,2023-04-27,1235,568,2.17429577464789,,
8576,HO,2021-06-25,PREG,,255,1320,604,629,103,2023-03-17,1065,526,2.02471482889734,,
8577,HO,2021-06-25,PREG,,232,1410,604,629,97,2023-03-17,1178,532,2.21428571428571,,
8578,HO,2021-06-26,SLD/DIE,,225,1260,,586,96,,1035,490,2.11224489795918,,
8579,HO,2021-06-26,PREG,,222,1400,617,642,102,2023-03-30,1178,540,2.18148148148148,,
8580,,2021-06-26,PREG,,770,1280,,628,382,2023-03-17,510,246,2.07317073170732,,
8581,HO,2021-06-26,PREG,,227,1360,610,635,96,2023-03-23,1133,539,2.10204081632653,,
8582,HO,2021-06-26,PREG,,280,1200,568,593,102,2023-02-09,920,491,1.87372708757637,,
8583,HO,2021-06-27,PREG,,235,1280,589,613,95,2023-03-02,1045,518,2.01737451737452,,
8584,HO,2021-06-27,PREG,,278,1260,617,641,101,2023-03-30,982,540,1.81851851851852,,
8585,HO,2021-06-28,PREG,,244,1580,624,647,100,2023-04-06,1336,547,2.44241316270567,,
8586,HO,2021-06-28,PREG,,256,1350,589,612,100,2023-03-02,1094,512,2.13671875,,
8587,HO,2021-06-29,PREG,,269,1500,604,625,99,2023-03-17,1231,526,2.34030418250951,,
8588,HO,2021-06-29,PREG,,283,1250,589,611,99,2023-03-02,967,512,1.888671875,,
8589,HO,2021-06-29,PREG,,245,1290,589,611,99,2023-03-02,1045,512,2.041015625,,
8590,HO,2021-06-29,PREG,,214,1460,645,667,99,2023-04-27,1246,568,2.19366197183099,,
8591,HO,2021-06-29,PREG,,232,1560,624,646,99,2023-04-06,1328,547,2.42778793418647,,
8592,HO,2021-06-30,PREG,,212,1200,589,610,98,2023-03-02,988,512,1.9296875,,
8594,HO,2021-06-30,PREG,,259,1320,589,610,98,2023-03-02,1061,512,2.072265625,,
8595,HO,2021-06-30,PREG,,263,1450,610,631,98,2023-03-23,1187,533,2.22701688555347,,
8596,HO,2021-06-30,PREG,,213,1460,617,638,92,2023-03-30,1247,546,2.28388278388278,,
8597,HO,2021-07-01,PREG,,223,1440,617,637,97,2023-03-30,1217,540,2.2537037037037,,
8598,HO,2021-07-01,PREG,,235,1260,645,665,97,2023-04-27,1025,568,1.80457746478873,,
8599,HO,2021-06-30,PREG,,232,1290,652,671,98,2023-05-04,1058,573,1.84642233856894,,
8600,HO,2021-07-01,PREG,,224,1420,589,609,91,2023-03-02,1196,518,2.30888030888031,,
8601,HO,2021-07-02,PREG,,200,1350,589,608,96,2023-03-02,1150,512,2.24609375,,
8602,HO,2021-07-02,PREG,,247,1300,589,608,96,2023-03-02,1053,512,2.056640625,,
8603,HO,2021-07-03,PREG,,225,1500,604,621,95,2023-03-17,1275,526,2.42395437262357,,
8604,HO,2021-07-03,PREG,,235,1300,589,607,95,2023-03-02,1065,512,2.080078125,,
8605,HO,2021-07-05,SLD/DIE,,292,292,,169,169,,0,0,,,
8606,HO,2021-07-05,SLD/DIE,,235,1060,,542,101,,825,441,1.87074829931973,,
8607,HO,2021-07-05,PREG,,164,1450,604,619,93,2023-03-17,1286,526,2.44486692015209,,
8608,HO,2021-07-06,PREG,,224,1320,604,618,92,2023-03-17,1096,526,2.08365019011407,,
8609,HO,2021-07-07,PREG,,246,1390,637,659,99,2023-04-27,1144,560,2.04285714285714,,
8610,HO,2021-07-09,SLD/DIE,,228,1100,,517,89,,872,428,2.03738317757009,,
8611,HO,2021-07-07,PREG,,225,1440,604,617,91,2023-03-17,1215,526,2.30988593155894,,
8612,HO,2021-07-08,PREG,,235,1380,610,623,90,2023-03-23,1145,533,2.14821763602251,,
8614,HO,2021-07-09,PREG,,235,1260,617,629,89,2023-03-30,1025,540,1.89814814814815,,
8615,HO,2021-07-10,PREG,,234,1210,604,614,88,2023-03-17,976,526,1.85551330798479,,
8616,HO,2021-07-10,PREG,,230,1340,610,621,88,2023-03-23,1110,533,2.08255159474672,,
8617,HO,2021-07-10,PREG,,418,1360,617,628,213,2023-03-30,942,415,2.26987951807229,,
8618,HO,2021-07-10,PREG,,230,1290,604,614,88,2023-03-17,1060,526,2.01520912547529,,
8619,HO,2021-07-10,PREG,,218,1340,589,600,88,2023-03-02,1122,512,2.19140625,,
8620,HO,2021-07-10,PREG,,243,1180,617,628,88,2023-03-30,937,540,1.73518518518519,,
8621,HO,2021-07-11,PREG,,255,1350,604,613,87,2023-03-17,1095,526,2.08174904942966,,
8623,HO,2021-07-13,PREG,,235,1270,604,611,85,2023-03-17,1035,526,1.96768060836502,,
8624,HO,2021-07-13,PREG,,225,1460,650,658,85,2023-05-02,1235,573,2.15532286212915,,
8625,HO,2021-07-14,PREG,,225,1320,624,631,84,2023-04-06,1095,547,2.0018281535649,,
8626,HO,2021-07-14,PREG,,212,1250,589,596,84,2023-03-02,1038,512,2.02734375,,
8627,HO,2021-07-15,SLD/DIE,,235,770,,379,83,,535,296,1.80743243243243,,
8628,HO,2021-07-15,PREG,,225,1300,604,609,83,2023-03-17,1075,526,2.04372623574145,,
8629,HO,2021-07-15,PREG,,225,1390,610,616,83,2023-03-23,1165,533,2.18574108818011,,
8630,HO,2021-07-16,SLD/DIE,,235,235,,82,82,,0,0,,,
8631,HO,2021-07-16,PREG,,222,1370,604,608,82,2023-03-17,1148,526,2.18250950570342,,
8632,HO,2021-07-17,PREG,,244,1290,604,607,81,2023-03-17,1046,526,1.98859315589354,,
8633,HO,2021-07-17,PREG,,246,1340,602,614,89,2023-03-23,1094,525,2.08380952380952,,
8634,HO,2021-07-18,PREG,,228,1290,596,606,88,2023-03-17,1062,518,2.05019305019305,,
8635,HO,2021-07-18,PREG,,221,1340,596,606,88,2023-03-17,1119,518,2.16023166023166,,
8636,HO,2021-07-19,PREG,,225,1280,609,619,87,2023-03-30,1055,532,1.98308270676692,,
8637,HO,2021-07-19,PREG,,252,1270,596,605,87,2023-03-17,1018,518,1.96525096525097,,
8639,HO,2021-07-19,SLD/DIE,,219,219,,87,87,,0,0,,,
8641,HO,2021-07-20,PREG,,235,1230,596,604,86,2023-03-17,995,518,1.92084942084942,,
8643,HO,2021-07-21,PREG,,225,1180,602,610,85,2023-03-23,955,525,1.81904761904762,,
8645,,2021-07-21,SLD/DIE,,520,520,,400,400,,0,0,,,
8646,HO,2021-07-21,PREG,,183,1270,602,610,85,2023-03-23,1087,525,2.07047619047619,,
8647,HO,2021-07-22,PREG,,222,1380,616,623,84,2023-04-06,1158,539,2.14842300556586,,
8648,HO,2021-07-22,PREG,,225,1450,602,609,84,2023-03-23,1225,525,2.33333333333333,,
8649,HO,2021-07-22,PREG,,195,1240,596,602,84,2023-03-17,1045,518,2.01737451737452,,
8650,HO,2021-07-23,PREG,,235,1270,596,601,83,2023-03-17,1035,518,1.9980694980695,,
8651,HO,2021-07-23,PREG,,221,1230,596,601,83,2023-03-17,1009,518,1.94787644787645,,
8652,HO,2021-07-24,PREG,,235,1430,602,607,82,2023-03-23,1195,525,2.27619047619048,,
8653,HO,2021-07-24,SLD/DIE,,235,1100,,573,82,,865,491,1.76171079429735,,
8654,HO,2021-07-24,PREG,,168,1420,623,628,82,2023-04-13,1252,546,2.29304029304029,,
8655,HO,2021-07-25,PREG,,214,1390,637,641,81,2023-04-27,1176,560,2.1,,
8656,HO,2021-07-25,PREG,,225,1320,602,606,81,2023-03-23,1095,525,2.08571428571429,,
8657,HO,2021-07-26,PREG,,225,1380,623,626,80,2023-04-13,1155,546,2.11538461538462,,
8658,HO,2021-07-26,PREG,,195,1300,637,640,80,2023-04-27,1105,560,1.97321428571429,,
8659,HO,2021-07-27,PREG,,225,1140,602,604,79,2023-03-23,915,525,1.74285714285714,,
8660,HO,2021-07-27,PREG,,179,1270,596,597,79,2023-03-17,1091,518,2.10617760617761,,
8661,HO,2021-07-27,PREG,,215,1280,607,618,90,2023-04-06,1065,528,2.01704545454545,,
8662,HO,2021-07-27,PREG,,233,1320,587,597,90,2023-03-17,1087,507,2.1439842209073,,
8663,HO,2021-07-27,PREG,,232,1390,607,618,90,2023-04-06,1158,528,2.19318181818182,,
8664,HO,2021-07-27,PREG,,218,1150,587,597,90,2023-03-17,932,507,1.83826429980276,,
8665,HO,2021-07-28,PREG,,215,1270,607,617,89,2023-04-06,1055,528,1.99810606060606,,
8666,HO,2021-07-28,PREG,,227,1320,587,596,89,2023-03-17,1093,507,2.15581854043393,,
8667,HO,2021-07-30,PREG,,218,1250,628,636,87,2023-04-27,1032,549,1.87978142076503,,
8668,HO,2021-07-31,SLD/DIE,,199,199,,84,84,,0,0,,,
8669,HO,2021-07-31,PREG,,209,1220,587,593,86,2023-03-17,1011,507,1.99408284023669,,
8670,HO,2021-07-31,SLD/DIE,,220,1080,,516,86,,860,430,2,,
8671,HO,2021-08-01,PREG,,235,1430,614,620,85,2023-04-13,1195,535,2.23364485981308,,
8672,HO,2021-08-01,PREG,,227,1320,593,599,85,2023-03-23,1093,514,2.12645914396887,,
8673,HO,2021-08-02,PREG,,245,1350,607,612,82,2023-04-06,1105,530,2.08490566037736,,
8674,HO,2021-08-02,SLD/DIE,,210,458,,210,84,,248,126,1.96825396825397,,
8675,HO,2021-08-02,PREG,,202,1220,593,598,82,2023-03-23,1018,516,1.97286821705426,,
8676,HO,2021-08-02,PREG,,206,1150,614,619,84,2023-04-13,944,535,1.76448598130841,,
