"ID","OLDID","PEN","CBRD","AGE","BDAT","EDAT","NOTE","SBRD","DBRD","FDAT","AGEFR","ARDAT","RPRO","EVT","REM","DINCU","DIM","LACT","WMK1","WMK4","WMK8","ME305","EC305","MILK","TDAT","SCC","LGSCC","LOG1","LSC2","XMAST","XSICK","ORGIN",
       666 ,         0 ,    74 ,H    ,  2-8 ,04/02/21,03/16/23,JC23      ,H    ,H    ,04/26/23,  2-0 ,       - ,PREG    ,PREG    ,67DAYS           ,    9 ,  224 ,   1 ,   37 ,   56 ,   53 ,20050 ,22870 ,    51 ,11/27/23,   379 ,  4.9 , 2.4 , 1.5 ,    0 ,    0 ,PUR   ,
       667 ,         0 ,    79 ,H    ,  2-4 ,04/07/21,03/16/23,JC23      ,H    ,H    ,04/21/23,  2-0 ,08/10/23, SLD/DIE,DIED    ,LAME.EU          ,    4 ,  111 ,   1 ,   28 ,   50 ,   77 ,24130 ,25260 ,    79 ,07/19/23,    14 ,  0.2 ,   0 , 2.7 ,    0 ,    1 ,-     ,
       668 ,         0 ,    74 ,H    ,  2-1 ,05/10/21,03/16/23,JC23      ,H    ,H    ,05/03/23, 1-11 ,07/03/23, SLD/DIE,SOLD    ,PNEU             ,    2 ,   61 ,   1 ,   40 ,   58 ,   56 ,19890 ,20470 ,    57 ,06/26/23,     9 ,  0.1 , 6.0 , 0.1 ,    0 ,    1 ,-     ,
       673 ,         0 ,    74 ,H    ,  2-6 ,05/31/21,03/16/23,JC23      ,H    ,H    ,05/07/23, 1-11 ,       - ,PREG    ,FOOTRIM ,NONE             ,    6 ,  213 ,   1 ,   38 ,   56 ,   68 ,21380 ,22000 ,    44 ,11/27/23,   124 ,  3.3 ,   0 , 0.2 ,    0 ,    0 ,PUR   ,
       674 ,         0 ,    74 ,H    ,  2-5 ,06/06/21,03/16/23,JC23      ,H    ,H    ,05/15/23, 1-11 ,11/28/23, SLD/DIE,SOLD    ,LP               ,   14 ,  197 ,   1 ,   39 ,   69 ,   79 ,21040 ,21820 ,    40 ,11/27/23,    48 ,  2.0 , 2.4 , 0.1 ,    0 ,    0 ,PUR   ,
       675 ,         0 ,    78 ,H    ,  2-5 ,06/11/21,03/16/23,JC23      ,H    ,H    ,06/07/23, 1-11 ,       - ,PREG    ,PREG    ,35DAYS           ,    1 ,  182 ,   1 ,   33 ,   67 ,   65 ,24210 ,26640 ,    71 ,11/27/23,    92 ,  2.9 , 1.4 , 7.0 ,    1 ,    2 ,PUR   ,
       676 ,         0 ,    74 ,H    ,  2-5 ,06/11/21,03/16/23,JC23      ,H    ,H    ,04/28/23, 1-10 ,       - ,PREG    ,LAME    ,  TRMH/B,   11 ,  222 ,   1 ,   39 ,   69 ,   89 ,28330 ,31490 ,    69 ,11/27/23,   166 ,  3.7 , 0.8 , 0.1 ,    0 ,    1 ,PUR   ,
       685 ,         0 ,    78 ,H    ,  2-5 ,07/01/21,03/16/23,JC23      ,H    ,H    ,06/10/23, 1-11 ,       - ,PREG    ,PREG    ,69DAYS           ,   12 ,  179 ,   1 ,   40 ,   74 ,   82 ,32150 ,33180 ,    93 ,11/27/23,   290 ,  4.5 ,   0 , 4.4 ,    0 ,    0 ,PUR   ,
       687 ,         0 ,    78 ,H    ,  2-4 ,07/08/21,03/16/23,JC23      ,H    ,H    ,06/20/23, 1-11 ,       - ,PREG    ,FOOTRIM ,NONE             ,    4 ,  169 ,   1 ,   29 ,   58 ,   75 ,23320 ,26920 ,    60 ,11/27/23,    37 ,  1.5 , 3.0 , 3.2 ,    0 ,    0 ,PUR   ,
       688 ,         0 ,    73 ,H    ,  2-4 ,07/10/21,03/16/23,JC23      ,H    ,H    ,06/29/23, 1-11 ,       - ,PREG    ,FOOTRIM ,NONE             ,   16 ,  160 ,   1 ,   41 ,   76 ,   82 ,25880 ,31520 ,    59 ,11/27/23,   128 ,  3.4 , 3.4 , 3.4 ,    1 ,    1 ,PUR   ,
       689 ,         0 ,    10 ,H    , 1-11 ,07/11/21,03/16/23,JC23      ,H    ,H    ,06/18/23, 1-11 ,07/12/23, SLD/DIE,SOLD    ,LP               ,   12 ,   24 ,   1 ,   12 ,   23 ,    0 ,15380 ,16520 ,    37 ,06/26/23,    77 ,  2.6 , 2.6 ,   0 ,    0 ,    1 ,-     ,
       690 ,         0 ,    78 ,H    ,  2-4 ,07/12/21,03/16/23,JC23      ,H    ,H    ,06/12/23, 1-10 ,       - ,PREG    ,LAME    ,TRMHRH/B,   13 ,  177 ,   1 ,   38 ,   50 ,   76 ,27980 ,27620 ,    85 ,11/27/23,   163 ,  3.7 ,   0 , 2.4 ,    0 ,    0 ,PUR   ,
       701 ,         0 ,    75 ,H    ,  2-2 ,09/22/21,03/16/23,JC23      ,H    ,H    ,10/17/23,  2-0 ,       - ,FRESH   ,HEAT    ,14:59            ,    8 ,   50 ,   1 ,   40 ,   60 ,   75 ,24830 ,27090 ,    71 ,11/27/23,   629 ,  5.6 , 5.0 , 5.6 ,    0 ,    0 ,PUR   ,
       702 ,         0 ,    76 ,H    ,  2-2 ,09/27/21,03/16/23,JC23      ,H    ,H    ,10/11/23,  2-0 ,       - ,FRESH   ,HEAT    ,12:59            ,    2 ,   56 ,   1 ,   39 ,   62 ,   74 ,25280 ,26210 ,    80 ,11/27/23,   591 ,  5.5 , 3.0 , 5.5 ,    0 ,    0 ,PUR   ,
       703 ,         0 ,    75 ,H    ,  2-2 ,09/29/21,03/16/23,JC23      ,H    ,H    ,10/20/23,  2-0 ,       - ,FRESH   ,HEAT    ,10:59            ,    0 ,   47 ,   1 ,   45 ,   69 ,    0 ,26650 ,26880 ,    77 ,11/27/23,    32 ,  1.4 , 2.6 , 1.4 ,    0 ,    0 ,PUR   ,
       704 ,         0 ,    75 ,H    ,  2-2 ,09/29/21,03/16/23,JC23      ,H    ,H    ,10/23/23,  2-0 ,       - ,FRESH   ,HEAT    ,04:59            ,   20 ,   44 ,   1 ,   46 ,   77 ,    0 ,26340 ,27530 ,    81 ,11/27/23,    53 ,  2.1 , 2.1 ,   0 ,    0 ,    0 ,PUR   ,
       705 ,         0 ,    75 ,H    ,  2-2 ,09/30/21,03/16/23,JC23      ,H    ,H    ,10/19/23,  2-0 ,       - ,FRESH   ,MOVE    ,F0001T0075       ,    3 ,   48 ,   1 ,   29 ,   40 ,    0 ,22520 ,29460 ,    53 ,11/27/23,    48 ,  2.0 , 2.7 , 2.0 ,    0 ,    1 ,PUR   ,
       706 ,         0 ,    79 ,H    ,  2-2 ,10/02/21,03/16/23,JC23      ,H    ,H    ,10/22/23,  2-0 ,       - ,FRESH   ,MOVE    ,F0075T0079       ,   13 ,   45 ,   1 ,   38 ,   63 ,    0 ,18950 ,21760 ,    67 ,11/27/23,  4480 ,  8.4 , 8.4 ,   0 ,    1 ,    1 ,PUR   ,
       707 ,         0 ,    71 ,H    ,  2-2 ,10/03/21,03/16/23,JC23      ,H    ,H    ,11/11/23,  2-1 ,       - ,FRESH   ,MOVE    ,F0001T0071       ,    4 ,   25 ,   1 ,   27 ,   37 ,    0 ,17820 ,22740 ,    43 ,11/27/23,    20 ,  0.7 , 0.7 ,   0 ,    0 ,    0 ,PUR   ,
