"ID","BDAT","LACT","Event","DIM","Date","Remark","Protocols","Technician",
         2 ,10/01/19,   2 ,DIARHEA    ,  93 ,01/18/23,PMP.BOL         ,PUMP/BOLUS,Nico,
         2 ,10/01/19,   2 ,DIARHEA    ,  94 ,01/19/23,PMP.BOL         ,PUMP/BOLUS,Lidia,
         2 ,10/01/19,   2 ,DIARHEA    ,  96 ,01/21/23,PMP.BOL         ,PUMP/BOLUS,Nico,
         3 ,10/01/19,   1 ,DIARHEA    ,  16 ,11/04/21,                ,PUMP/BOLUS,Diana,
         3 ,11/05/20,   0 ,PNEU       , 723 ,10/29/22,POL.26IM        ,Polyflex.26     ,Diana,
         3 ,11/05/20,   1 ,PNEU       ,   1 ,11/01/22,POL.26IM        ,Polyflex.26     ,Diana,
        10 ,10/01/19,   2 ,DIARHEA    ,   8 ,12/03/22,PMP.BOL         ,PUMP/BOLUS,Lidia,
        12 ,10/01/19,   1 ,PNEU       , 219 ,04/14/22,OXY.50SQ        ,OXYTET.50       ,,
        16 ,10/01/19,   1 ,PNEU       , 158 ,03/25/22,EXCEDE          ,EXCEDE.17       ,,
        16 ,10/01/19,   2 ,PNEU       , 121 ,04/08/23,XC.20BOE        ,EXCEDE.20       ,Mayte,
        18 ,10/01/19,   2 ,DIARHEA    ,  13 ,04/13/23,PMP.BOL         ,PUMP/BOLUS,Mayte,
        23 ,10/01/19,   2 ,PNEU       ,   3 ,11/06/22,POL.26IM        ,Polyflex.26     ,Nico,
        30 ,10/01/19,   2 ,PNEU       ,   2 ,02/18/23,NOTREAT         ,No Treat        ,Lidia,
        32 ,10/01/19,   1 ,DIARHEA    ,  18 ,11/24/21,                ,PUMP/BOLUS,Diana,
        32 ,10/01/19,   1 ,DIARHEA    ,  19 ,11/25/21,                ,PUMP/BOLUS,Diana,
        32 ,10/01/19,   1 ,DIARHEA    ,  20 ,11/26/21,                ,PUMP/BOLUS,Diana,
        61 ,10/01/19,   2 ,DIARHEA    ,  97 ,03/26/23,PMP.BOL         ,PUMP/BOLUS,Mayte,
        94 ,04/05/20,   1 ,PNEU       ,   7 ,06/29/22,CEF.26SQ        ,Ceftiofur.26    ,Moise's,
        98 ,02/10/20,   1 ,DIARHEA    ,  20 ,04/30/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
       102 ,04/05/20,   1 ,DIARHEA    ,  14 ,04/19/22,PMP.BOL         ,PUMP/BOLUS,Moise's,
       104 ,02/05/20,   1 ,PNEU       ,   7 ,04/12/22,POL.26IM        ,Polyflex.26     ,Moise's,
       104 ,02/05/20,   1 ,DIARHEA    ,  26 ,05/01/22,PMP.BOL         ,PUMP/BOLUS,,
       168 ,09/25/20,   1 ,DIARHEA    ,   5 ,09/11/22,PMP.BOL         ,PUMP/BOLUS,Diana,
       211 ,10/05/19,   2 ,DIARHEA    , 306 ,07/18/23,PMP.BOL         ,PUMP/BOLUS,,
       215 ,10/05/19,   1 ,DIARHEA    ,  13 ,11/21/21,                ,PUMP/BOLUS,Belsasar,
       215 ,10/05/19,   1 ,DIARHEA    ,  14 ,11/22/21,                ,PUMP/BOLUS,Diana,
       215 ,10/05/19,   1 ,DIARHEA    ,  15 ,11/23/21,                ,PUMP/BOLUS,Diana,
       227 ,10/10/19,   2 ,DIARHEA    ,  12 ,12/12/22,PMP.BOL         ,PUMP/BOLUS,Lidia,
       243 ,10/20/19,   2 ,DIARHEA    , 253 ,08/22/23,PMP.BOL         ,PUMP/BOLUS,,
       243 ,10/20/19,   2 ,DIARHEA    , 309 ,10/17/23,PMP.BOL         ,PUMP/BOLUS,,
       243 ,10/20/19,   2 ,DIARHEA    , 315 ,10/23/23,PMP ALFALFA.BOL ,PUMP/BOLUS,Nico,
