"ID","CBRD","SBRD","DBRD","BDAT","BRTHW","RPRO","GHDAT","Event","DIM","Date","Remark","Protocols","Technician",
      8466 ,H    ,H    ,H    ,05/23/21,    0 ,PREG    ,03/17/23,ARVKDD     ,  59 ,07/21/21,                ,                ,,
      8471 ,H    ,H    ,H    ,05/25/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  57 ,07/21/21,                ,                ,,
      8472 ,H    ,H    ,H    ,05/26/21,    0 ,PREG    ,03/30/23,ARVKDD     ,  56 ,07/21/21,                ,                ,,
      8473 ,H    ,H    ,H    ,05/26/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  56 ,07/21/21,                ,                ,,
      8475 ,H    ,H    ,H    ,05/26/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  56 ,07/21/21,                ,                ,,
      8476 ,H    ,H    ,H    ,05/27/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  55 ,07/21/21,                ,                ,,
      8477 ,H    ,H    ,H    ,05/27/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  55 ,07/21/21,                ,                ,,
      8479 ,H    ,H    ,H    ,05/28/21,    0 ,PREG    ,03/02/23,ARVKDD     ,  54 ,07/21/21,                ,                ,,
      8480 ,H    ,H    ,H    ,05/28/21,    0 ,PREG    ,03/17/23,ARVKDD     ,  54 ,07/21/21,                ,                ,,
      8481 ,H    ,H    ,H    ,05/29/21,    0 ,PREG    ,03/17/23,ARVKDD     ,  53 ,07/21/21,                ,                ,,
      8482 ,H    ,H    ,H    ,05/29/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  53 ,07/21/21,                ,                ,,
      8483 ,H    ,H    ,H    ,05/29/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  53 ,07/21/21,                ,                ,,
      8484 ,H    ,H    ,H    ,05/29/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  53 ,07/21/21,                ,                ,,
      8485 ,H    ,H    ,H    ,05/29/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  53 ,07/21/21,                ,                ,,
      8486 ,H    ,H    ,H    ,05/29/21,    0 , SLD/DIE,00000000 ,ARVKDD     ,  53 ,07/21/21,                ,                ,,
      8487 ,H    ,H    ,H    ,05/29/21,    0 ,PREG    ,03/02/23,ARVKDD     ,  53 ,07/21/21,                ,                ,,
      8488 ,H    ,H    ,H    ,05/30/21,    0 ,PREG    ,03/23/23,ARVKDD     ,  52 ,07/21/21,                ,                ,,
      8489 ,H    ,H    ,H    ,05/30/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  52 ,07/21/21,                ,                ,,
      8490 ,H    ,H    ,H    ,05/31/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  51 ,07/21/21,                ,                ,,
      8491 ,H    ,H    ,H    ,05/31/21,    0 ,PREG    ,02/09/23,ARVKDD     ,  51 ,07/21/21,                ,                ,,
