"ID","CBRD","BDAT","BW8T","RPRO","GHDAT","Event","DIM","Date","Remark","Protocols","Technician",
      4262 ,H    ,04/25/20,     0 , SLD/DIE,00000000 ,MEASURE    ,   0 ,05/09/22,POLYFLEX        ,                ,,
      4788 ,H    ,10/25/17,     0 , SLD/DIE,00000000 ,MEASURE    , 356 ,09/10/21,                ,                ,,
      5363 ,H    ,06/11/18,     0 , SLD/DIE,00000000 ,MEASURE    ,  11 ,03/24/21,INFECTIO        ,                ,,
      8466 ,H    ,05/23/21,     0 ,PREG    ,03/17/23,MEASURE    , 183 ,11/22/21,  356/45,                ,,
      8466 ,H    ,05/23/21,     0 ,PREG    ,03/17/23,MEASURE    , 383 ,06/10/22,850             ,                ,,
      8466 ,H    ,05/23/21,     0 ,PREG    ,03/17/23,MEASURE    , 662 ,03/16/23,1350            ,                ,,
      8471 ,H    ,05/25/21,     0 ,PREG    ,02/09/23,MEASURE    , 181 ,11/22/21,  400/46,                ,,
      8471 ,H    ,05/25/21,     0 ,PREG    ,02/09/23,MEASURE    , 625 ,02/09/23,1280            ,                ,,
      8472 ,H    ,05/26/21,     0 ,PREG    ,03/30/23,MEASURE    , 180 ,11/22/21,  400/46,                ,,
      8472 ,H    ,05/26/21,     0 ,PREG    ,03/30/23,MEASURE    , 380 ,06/10/22,  860/54,                ,,
      8472 ,H    ,05/26/21,     0 ,PREG    ,03/30/23,MEASURE    , 673 ,03/30/23,1500            ,                ,,
      8473 ,H    ,05/26/21,     0 ,PREG    ,02/09/23,MEASURE    , 180 ,11/22/21,  398/45,                ,,
      8473 ,H    ,05/26/21,     0 ,PREG    ,02/09/23,MEASURE    , 380 ,06/10/22,  770/51,                ,,
      8473 ,H    ,05/26/21,     0 ,PREG    ,02/09/23,MEASURE    , 624 ,02/09/23,1240            ,                ,,
      8475 ,H    ,05/26/21,     0 ,PREG    ,02/09/23,MEASURE    , 180 ,11/22/21,  402/46,                ,,
      8475 ,H    ,05/26/21,     0 ,PREG    ,02/09/23,MEASURE    , 624 ,02/09/23,1200            ,                ,,
      8476 ,H    ,05/27/21,     0 ,PREG    ,02/09/23,MEASURE    , 179 ,11/22/21,  422/46,                ,,
      8476 ,H    ,05/27/21,     0 ,PREG    ,02/09/23,MEASURE    , 379 ,06/10/22,  920/54,                ,,
      8476 ,H    ,05/27/21,     0 ,PREG    ,02/09/23,MEASURE    , 623 ,02/09/23,1400            ,                ,,
      8477 ,H    ,05/27/21,     0 ,PREG    ,02/09/23,MEASURE    , 179 ,11/22/21,  356/45,                ,,
      8477 ,H    ,05/27/21,     0 ,PREG    ,02/09/23,MEASURE    , 623 ,02/09/23,1250            ,                ,,
      8479 ,H    ,05/28/21,     0 ,PREG    ,03/02/23,MEASURE    , 186 ,11/30/21,  379/45,                ,,
      8479 ,H    ,05/28/21,     0 ,PREG    ,03/02/23,MEASURE    , 643 ,03/02/23,1330            ,                ,,
      8480 ,H    ,05/28/21,     0 ,PREG    ,03/17/23,MEASURE    , 178 ,11/22/21,  366/45,                ,,
      8480 ,H    ,05/28/21,     0 ,PREG    ,03/17/23,MEASURE    , 378 ,06/10/22,  740/54,                ,,
      8480 ,H    ,05/28/21,     0 ,PREG    ,03/17/23,MEASURE    , 657 ,03/16/23,1420            ,                ,,
      8481 ,H    ,05/29/21,     0 ,PREG    ,03/17/23,MEASURE    , 177 ,11/22/21,  422/46,                ,,
      8481 ,H    ,05/29/21,     0 ,PREG    ,03/17/23,MEASURE    , 656 ,03/16/23,1380            ,                ,,
      8482 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 206 ,12/21/21,  408/46,                ,,
      8482 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 396 ,06/29/22,  790/54,                ,,
      8482 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 621 ,02/09/23,1270            ,                ,,
      8483 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 177 ,11/22/21,  350/45,                ,,
      8483 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 621 ,02/09/23,1220            ,                ,,
      8484 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 177 ,11/22/21,  428/46,                ,,
      8484 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 377 ,06/10/22,  910/54,                ,,
      8484 ,H    ,05/29/21,     0 ,PREG    ,02/09/23,MEASURE    , 621 ,02/09/23,1400            ,                ,,
